project_folder,score
bin2hex_lib,1.0
bitwriter_add_lib,0.0
collided_lib,1.0
colourblind_lib,1.0
contrast_ratio_lib,1.0
crc16_lib,1.0
dequantize_granule_lib,1.0
div_euclid_lib,1.0
encode_quant_lib,1.0
flac_validate_lib,1.0
flip_horizontal_lib,0.0
float2half_lib,0.25
gaussian_kernel_lib,0.25
half2float_lib,1.0
hdr_bitrate_lib,1.0
hdr_compare_lib,1.0
hex2bin_lib,1.0
hsl_to_rgb_lib,0.25
hsv_to_rgb_lib,1.0
ima_parse_lib,1.0
ldexp_q2_lib,1.0
max_size_frame_lib,1.0
md5_digest_lib,0.0
merge_sort_lib,1.0
next_double_lib,1.0
normalize_lib,1.0
pow43_lib,1.0
premultiply_lib,0.0
read_side_info_lib,1.0
rev16_lib,0.25
rgb_to_hsv_lib,1.0
synth_pair_lib,1.0
tfm_lib,0.0
to_barycentric_lib,1.0
tritanopia_lib,1.0
update_frame_header_lib,1.0
update_md5_lib,0.0
wcscat_lib,0.25
