project_folder,score,unsafe_removed,unsafe_remaining,passtests,agent_safety_prompt_call_duration_sec,agent_safety_prompt_output_tokens
zlib_attempt1,0.05466237942122187,34,588,True,248.444220257923,19275
zlib_attempt2,0.01020408163265306,6,582,True,254.49743388220668,20324
zlib_attempt3,0.013745704467353952,8,574,True,477.18161980900913,36268
zlib_attempt4,0.013937282229965157,8,566,True,268.5897132093087,18238
zlib_attempt5,0.0176678445229682,10,556,True,301.13507166691124,20672
zlib_attempt6,0.03237410071942446,18,538,True,528.8469801293686,43497
zlib_attempt7,0.018587360594795536,10,528,True,406.6688327882439,28602
zlib_attempt8,0.001893939393939394,1,527,True,514.8182687051594,40275
zlib_attempt9,0.007590132827324478,4,523,True,422.3551095947623,32659
zlib_attempt10,0.0076481835564053535,4,519,True,396.51628127135336,31656
zlib_attempt11,0.015414258188824663,8,511,True,390.9057075884193,32132
zlib_attempt12,0.015655577299412915,8,503,True,324.01935098227113,24064
zlib_attempt13,0.013916500994035784,7,496,True,492.4961859434843,35077
zlib_attempt14,0.014112903225806451,7,489,True,458.5307871652767,31467
zlib_attempt15,0.014314928425357875,7,482,True,576.8664520625025,46025
zlib_attempt16,0.01037344398340249,5,477,True,465.49964234326035,40464
zlib_attempt17,0.010482180293501049,5,472,True,416.64197483099997,34167
zlib_attempt18,0.006355932203389831,3,469,True,556.5434632077813,45307
zlib_attempt19,0.014925373134328358,7,462,True,352.63387790787965,23066
zlib_attempt20,0.05627705627705628,26,436,True,368.0697455685586,30512
