project_folder,score,unsafe_removed,unsafe_remaining,passtests,agent_safety_prompt_call_duration_sec,agent_safety_prompt_output_tokens
zlib_attempt1,0.05627009646302251,35,587,True,122.68996283132583,10093
zlib_attempt2,0.008517887563884156,5,582,True,276.42362827435136,27690
zlib_attempt3,0.001718213058419244,1,581,True,205.0619226861745,20291
zlib_attempt4,0.020654044750430294,12,569,True,454.9415635149926,50219
zlib_attempt5,0.0,0,569,,194.46332132350653,21727
zlib_attempt6,0.014059753954305799,8,561,True,264.74555490445346,27681
zlib_attempt7,0.0053475935828877,3,558,True,422.3576074130833,45399
zlib_attempt8,0.005376344086021506,3,555,True,278.0225945934653,25142
zlib_attempt9,0.007207207207207207,4,551,True,223.22871844191104,22097
zlib_attempt10,0.014519056261343012,8,543,True,192.3518235431984,20496
zlib_attempt11,0.0,0,543,True,421.1100828005001,45693
zlib_attempt12,0.10313075506445672,56,487,True,340.65559254586697,35401
zlib_attempt13,0.012320328542094456,6,481,True,351.69452038779855,35786
zlib_attempt14,0.0,0,481,True,264.20530322752893,26776
zlib_attempt15,0.02079002079002079,10,471,True,304.92596647515893,31347
zlib_attempt16,0.0,0,471,True,300.6131415069103,34829
zlib_attempt17,0.008492569002123142,4,467,True,276.60847223736346,26687
zlib_attempt18,0.008565310492505354,4,463,True,290.85820199456066,26272
zlib_attempt19,0.032397408207343416,15,448,True,316.937263620086,30451
zlib_attempt20,0.026785714285714284,12,436,True,336.89274011552334,31594
