project_folder,score,unsafe_removed,unsafe_remaining,passtests,agent_safety_prompt_call_duration_sec,agent_safety_prompt_output_tokens
zlib_attempt1,0.06270096463022508,39,583,True,305.6994155636057,23750
zlib_attempt2,0.015437392795883362,9,574,True,319.7836587941274,22679
zlib_attempt3,0.0156794425087108,9,565,True,291.3385015428066,19382
zlib_attempt4,0.0,0,565,True,208.69373847264796,16380
zlib_attempt5,0.0035398230088495575,2,563,True,387.2630119798705,31128
zlib_attempt6,0.019538188277087035,11,552,True,347.88045744784176,29414
zlib_attempt7,0.012681159420289856,7,545,True,325.8561834618449,25582
zlib_attempt8,0.011009174311926606,6,539,True,261.56227107625455,21359
zlib_attempt9,0.014842300556586271,8,531,True,426.76353886537254,37117
zlib_attempt10,0.011299435028248588,6,525,True,555.1477333912626,42679
zlib_attempt11,0.0,0,525,,0.0,0
zlib_attempt12,0.0,0,525,,0.0,0
zlib_attempt13,0.0,0,525,,0.0,0
zlib_attempt14,0.0,0,525,,0.0,0
zlib_attempt15,0.005714285714285714,3,522,True,473.841383096762,27407
zlib_attempt16,0.007662835249042145,4,518,True,404.90637493971735,37769
zlib_attempt17,0.013513513513513514,7,511,True,592.9984116703272,49249
zlib_attempt18,0.023483365949119372,12,499,True,269.2813861472532,23793
zlib_attempt19,0.04208416833667334,21,478,True,318.91465237364173,26495
zlib_attempt20,0.006276150627615062,3,475,True,224.81431662011892,22097
