project_folder,score,unsafe_removed,unsafe_remaining,passtests,agent_safety_prompt_call_duration_sec,agent_safety_prompt_output_tokens
zlib_attempt1,0.04823151125401929,30,592,True,292.4942935453728,30414
zlib_attempt2,0.016891891891891893,10,582,True,205.21186138968915,19258
zlib_attempt3,0.01718213058419244,10,572,True,289.8665145933628,28463
zlib_attempt4,0.01048951048951049,6,566,True,342.63094701990485,33332
zlib_attempt5,0.010600706713780918,6,560,True,273.25793308671564,23635
zlib_attempt6,0.014285714285714285,8,552,True,272.92763577215374,23557
zlib_attempt7,0.0,0,552,,266.83536489866674,28073
zlib_attempt8,0.0,0,552,,179.42579301353544,15349
zlib_attempt9,0.009057971014492754,5,547,True,325.70297633856535,31940
zlib_attempt10,0.0,0,547,,293.4464378049597,29284
zlib_attempt11,0.007312614259597806,4,543,True,244.18395444378257,23390
zlib_attempt12,0.0,0,543,,230.4128928547725,20572
zlib_attempt13,0.0,0,543,,275.9939535148442,24495
zlib_attempt14,0.0055248618784530384,3,540,True,313.8009405564517,30188
zlib_attempt15,0.009259259259259259,5,535,True,314.32466236967593,29943
zlib_attempt16,0.007476635514018692,4,531,True,294.86062115617096,28606
zlib_attempt17,0.0,0,531,True,419.02587945666164,42311
zlib_attempt18,0.0,0,531,,197.90886996220797,15439
zlib_attempt19,0.0,0,531,,348.66980312019587,33021
zlib_attempt20,0.0,0,531,True,183.61775808408856,15890
