project_folder,score,unsafe_removed,unsafe_remaining,passtests,agent_safety_prompt_call_duration_sec,agent_safety_prompt_output_tokens
zlib_attempt1,0.03967292549969715,262,6342,True,451.8982921997085,31000
zlib_attempt2,0.13844213181961526,878,5464,True,525.1446400834247,30708
zlib_attempt3,0.0157393850658858,86,5378,True,528.2328998390585,32299
zlib_attempt4,0.016177017478616586,87,5291,True,467.196551383473,28466
zlib_attempt5,0.00926100926100926,49,5242,True,606.5188467958942,39026
zlib_attempt6,0.025944296070202214,136,5106,True,413.2018563495949,28223
zlib_attempt7,0.018018018018018018,92,5014,True,457.5917275445536,30098
zlib_attempt8,0.0793777423214998,398,4616,True,604.0958585171029,38822
zlib_attempt9,0.04636048526863085,214,4402,True,491.83022033050656,32118
zlib_attempt10,0.014993184915947297,66,4336,True,374.27284228336066,21452
zlib_attempt11,0.03274907749077491,142,4194,True,321.5943666258827,20530
zlib_attempt12,0.017405817835002384,73,4121,True,332.7750228336081,22148
zlib_attempt13,0.032516379519534094,134,3987,True,633.4781119395047,41859
zlib_attempt14,0.0005016302984700275,2,3985,True,464.40195810142905,26274
zlib_attempt15,0.005018820577164366,20,3965,True,279.900005816482,17447
zlib_attempt16,0.017402269861286256,69,3896,True,471.6250382401049,29571
zlib_attempt17,0.012577002053388091,49,3847,True,364.1211829930544,16588
zlib_attempt18,0.022874967507148423,88,3759,True,495.8367225313559,32010
zlib_attempt19,0.01675977653631285,63,3696,True,441.61374764796346,27891
zlib_attempt20,0.0035173160173160175,13,3683,True,332.3753730226308,19320
