project_folder,score,unsafe_removed,unsafe_remaining,passtests,agent_safety_prompt_call_duration_sec,agent_safety_prompt_output_tokens
zlib_attempt1,0.03800726832222895,251,6353,True,632.5822797548026,31662
zlib_attempt2,0.13788761215173934,876,5477,True,464.291622501798,27448
zlib_attempt3,0.006025196275333212,33,5444,True,498.48921898845583,33458
zlib_attempt4,0.006429096252755327,35,5409,True,280.9465899094939,15889
zlib_attempt5,0.00776483638380477,42,5367,True,485.97069789562374,32147
zlib_attempt6,0.011179429849077696,60,5307,True,667.9430724857375,39048
zlib_attempt7,0.006029771999246278,32,5275,True,452.16260128002614,26441
zlib_attempt8,0.03753554502369668,198,5077,True,470.6831058477983,30398
zlib_attempt9,0.005712034666141422,29,5048,True,441.6184157812968,28292
zlib_attempt10,0.0035657686212361333,18,5030,True,445.75445737317204,23734
zlib_attempt11,0.0017892644135188867,9,5021,True,294.90418731514364,17896
zlib_attempt12,0.004779924317864967,24,4997,True,323.7432375252247,19163
zlib_attempt13,0.00640384230538323,32,4965,True,684.3927918914706,40415
zlib_attempt14,0.002215508559919436,11,4954,True,356.69527538958937,19188
zlib_attempt15,0.002624142107387969,13,4941,True,437.9822166580707,25580
zlib_attempt16,0.004857316332726169,24,4917,True,457.19719173014164,28451
zlib_attempt17,0.07545251169412244,371,4546,True,553.8603310016915,31798
zlib_attempt18,0.007479102507699077,34,4512,True,561.6296388646588,29088
zlib_attempt19,0.012189716312056738,55,4457,True,398.5148784518242,22559
zlib_attempt20,0.060803230872784386,271,4186,True,626.4975379426032,43095
