project_folder,score,unsafe_removed,unsafe_remaining,passtests,agent_safety_prompt_call_duration_sec,agent_safety_prompt_output_tokens
zlib_attempt1,0.05466237942122187,34,588,True,240.43874203413725,23704
zlib_attempt2,0.01020408163265306,6,582,True,404.94703833106905,38836
zlib_attempt3,0.041237113402061855,24,558,True,405.82573640719056,40237
zlib_attempt4,0.014336917562724014,8,550,True,676.9362508077174,59359
zlib_attempt5,0.007272727272727273,4,546,True,466.7764544803649,47916
zlib_attempt6,0.007326007326007326,4,542,True,306.3598442459479,30186
zlib_attempt7,0.01107011070110701,6,536,True,342.9972615195438,29141
zlib_attempt8,0.007462686567164179,4,532,True,366.3907262105495,35156
zlib_attempt9,0.005639097744360902,3,529,True,481.7974889231846,49925
zlib_attempt10,0.011342155009451797,6,523,True,511.27001987583935,58298
zlib_attempt11,0.02294455066921606,12,511,True,329.38583980873227,34722
zlib_attempt12,0.0,0,511,,401.60087328217924,47846
zlib_attempt13,0.0019569471624266144,1,510,True,473.50273132231086,48709
zlib_attempt14,0.013725490196078431,7,503,True,450.01049710344523,45974
zlib_attempt15,0.02385685884691849,12,491,True,558.061720373109,53574
zlib_attempt16,0.010183299389002035,5,486,True,361.0353343738243,34624
zlib_attempt17,0.0,0,486,True,607.0037161987275,63804
zlib_attempt18,0.00411522633744856,2,484,True,504.97402751259506,59196
zlib_attempt19,0.010330578512396695,5,479,True,326.5439040251076,31645
zlib_attempt20,0.0041753653444676405,2,477,True,410.80564922932535,42342
