project_folder,score
aabb_lib,0.0
agglom_lib,0.0
arr_del_lib,0.5
arr_ins_lib,0.5
arr_push_lib,0.0
basename_lib,0.5
call_predict_lib,1.0
capsule_lib,0.0
circle_collide_lib,0.5
convert_pix_lib,0.0
decode_base64_lib,0.5
encode_base64_lib,0.5
file_queue_lib,0.25
gen_ray_lib,0.5
get_predict_func_lib,0.0
gjk_cache_lib,0.0
gjk_lib,0.0
helxo_lib,0.0
hm_geti_lib,0.0
intput_lib,0.0
lines_in_buffer_lib,0.0
load_png_mem_lib,0.0
omni_collide_lib,0.0
omni_manifold_lib,0.0
parse_number_lib,0.5
parse_uname_lib,0.0
pinflate_lib,0.0
poly_ray_lib,0.0
qmath,0.0
rdg_genstdout_lib,0.5
reverse_collide_lib,0.0
search_and_replace_lib,0.5
sh_geti_lib,0.0
sh_puts_lib,0.0
siphash_lib,0.5
spec_ray_lib,0.0
str_dups_lib,0.0
str_put_lib,0.0
strdup_lib,0.5
underhanded_c_luggage,0.0
underhanded_c_nuke_lib,0.5
unfilter_lib,0.0
utf8_lib,0.5
