project_folder,score
arity_lib,0.0
arrayfunc_lib,0.0
buffapp_lib,0.0
char_to_bool,0.25
charinbuf_lib,0.0
checkshift_lib,0.0
cleanup_lib,0.5
complexmode_lib,0.5
confusion_lib,0.0
container_of,0.0
dataentry_lib,1.0
doubleneg_lib,0.5
envy_lib,0.0
fallcalc_lib,0.5
findrep_lib,0.5
generic_foreach,0.0
goto_lib,0.25
gotomach_lib,1.0
hashmap_tree,0.0
hatch_lib,0.0
inreftree_lib,0.0
jumpnode_lib,1.0
mathop_lib,0.0
matrix_mult_lib,0.0
matrix_sum_lib,0.5
maxnmin_lib,0.0
memchra2_lib,0.5
memcpy_fun_buffers,0.0
memmove,0.0
modeselect_lib,0.5
mutable_duplication_dag,0.25
overunder_lib,1.0
pointer_comparison_ascii_art,0.0
static_vars_fpts,0.0
strcmp,0.25
strcpy,0.5
task_manager_lib,0.0
tu_linkage,0.0
