project_folder,score,unsafe_removed,unsafe_remaining,passtests,agent_safety_prompt_call_duration_sec,agent_safety_prompt_output_tokens
zlib_attempt1,0.038612961841308295,255,6349,True,233.36682929191738,17970
zlib_attempt2,0.0011025358324145535,7,6342,True,150.19328502751887,12164
zlib_attempt3,0.014033427940712708,89,6253,True,229.25278915744275,13500
zlib_attempt4,0.12010235087158164,751,5502,True,168.75469428952783,11480
zlib_attempt5,0.0,0,5502,True,154.16855532769114,11914
zlib_attempt6,0.0052708106143220645,29,5473,True,123.32907265424728,7047
zlib_attempt7,0.0023752969121140144,13,5460,True,118.97127504833043,7223
zlib_attempt8,0.004395604395604396,24,5436,True,213.53542027249932,13381
zlib_attempt9,0.0003679175864606328,2,5434,True,168.9335254728794,10349
zlib_attempt10,0.005704821494295178,31,5403,True,241.73944700602442,16848
zlib_attempt11,0.0005552470849528039,3,5400,True,194.2252922989428,11574
zlib_attempt12,0.0014814814814814814,8,5392,True,265.80935542471707,16664
zlib_attempt13,0.002596439169139466,14,5378,True,203.39167126920074,14178
zlib_attempt14,0.0,0,5378,True,154.64996511116624,12157
zlib_attempt15,0.030866493120119003,166,5212,True,261.7641170145944,19936
zlib_attempt16,0.0011511895625479663,6,5206,True,122.17912436462939,7546
zlib_attempt17,0.005954667691125625,31,5175,True,139.3442381983623,9361
zlib_attempt18,0.005603864734299517,29,5146,True,443.7928654169664,16278
zlib_attempt19,0.006995724834823164,36,5110,True,136.6559144956991,10860
zlib_attempt20,0.012915851272015656,66,5044,True,251.54046423826367,17577
