project_folder,score,unsafe_removed,unsafe_remaining,passtests,agent_safety_prompt_call_duration_sec,agent_safety_prompt_output_tokens
zlib_attempt1,0.04662379421221865,29,593,True,253.26800678670406,14824
zlib_attempt2,0.016863406408094434,10,583,True,238.17952404357493,12212
zlib_attempt3,0.0017152658662092624,1,582,True,218.00471486151218,12742
zlib_attempt4,0.003436426116838488,2,580,True,337.7158189956099,21134
zlib_attempt5,0.0,0,580,True,197.40545013174415,10331
zlib_attempt6,0.0034482758620689655,2,578,True,308.83952059876174,16451
zlib_attempt7,0.01384083044982699,8,570,True,268.80272086150944,17301
zlib_attempt8,0.007017543859649123,4,566,True,351.29682860989124,21695
zlib_attempt9,0.015901060070671377,9,557,True,334.97136781644076,19792
zlib_attempt10,0.00718132854578097,4,553,True,171.7619635295123,9315
zlib_attempt11,0.012658227848101266,7,546,True,297.5516944313422,17781
zlib_attempt12,0.0,0,546,True,163.96931110322475,10576
zlib_attempt13,0.0,0,546,True,215.91642943769693,16556
zlib_attempt14,0.021978021978021976,12,534,True,328.5164183592424,23304
zlib_attempt15,0.0,0,534,True,175.99631275143474,11292
zlib_attempt16,0.00749063670411985,4,530,True,203.18416303303093,13603
zlib_attempt17,0.0,0,530,True,192.86796964053065,12736
zlib_attempt18,0.0,0,530,True,220.41581708658487,17526
zlib_attempt19,0.009433962264150943,5,525,True,177.54447985254228,10567
zlib_attempt20,0.0,0,525,True,206.6162251783535,14743
