project_folder,score,unsafe_removed,unsafe_remaining,passtests,agent_safety_prompt_call_duration_sec,agent_safety_prompt_output_tokens
zlib_attempt1,0.04180064308681672,26,596,True,184.3969406997785,15121
zlib_attempt2,0.006711409395973154,4,592,True,112.01490775961429,8535
zlib_attempt3,0.016891891891891893,10,582,True,163.34684462752193,11689
zlib_attempt4,0.001718213058419244,1,581,True,138.79002509452403,10670
zlib_attempt5,0.0017211703958691911,1,580,True,203.71078057400882,15503
zlib_attempt6,0.0,0,580,True,122.62194932438433,8845
zlib_attempt7,0.0,0,580,,108.45356180891395,8985
zlib_attempt8,0.0,0,580,True,134.26141816191375,11279
zlib_attempt9,0.0,0,580,,99.41055302787572,8560
zlib_attempt10,0.0,0,580,,123.14020758680999,11219
zlib_attempt11,0.0,0,580,True,128.22770826611668,10987
zlib_attempt12,0.0,0,580,True,122.71471990272403,9151
zlib_attempt13,0.0,0,580,True,121.66249064169824,10275
zlib_attempt14,0.0,0,580,True,139.26034133601934,12329
zlib_attempt15,0.0,0,580,True,225.23213444184512,19232
zlib_attempt16,0.0,0,580,True,179.78199128434062,16406
zlib_attempt17,0.0,0,580,True,135.01607311703265,10493
zlib_attempt18,0.01206896551724138,7,573,True,211.54643765743822,18051
zlib_attempt19,0.0,0,573,,132.52818250097334,12363
zlib_attempt20,0.0,0,573,,119.9447568571195,9405
